,MM1,MM2,MM3,BD1,BD2,BD3,EQ1,EQ2,EQ3,FX1,FX2,FX3,FI1,FI2,FI3
2024-07-16,3.55,0.17399999999999993,0.10138514372639108,-0.10199999999999987,0.5149999999999997,93.87,-0.0018071109992590095,16.34,12.112143280406983,0.0014094178020309656,6.88,-3.27,35.232,15.24508822454873,0.00036649407624733676
2024-07-17,3.54,0.16000000000000014,0.10428705324096607,-0.08700000000000019,0.4870000000000001,91.0,0.007955088639924113,16.53,11.90195149551649,-0.0038253338145073368,6.95,-3.288,35.626,14.829494158164366,-0.0061357529090165785
2024-07-18,3.52,0.13900000000000023,0.11968379391678591,-0.07499999999999973,0.45999999999999996,91.97,0.0066612972999589015,16.79,12.165012534697196,0.0024271844660193054,6.89,-3.293,35.713,14.599507665095398,-0.0015536336851742494
2024-07-19,3.52,0.13900000000000023,0.11968379391678591,-0.08000000000000007,0.44799999999999995,94.29,0.010228902225290715,17.27,12.705583585634173,0.005131726356113031,7.11,-3.304,36.25,14.672036756895695,-0.00777912270544745
2024-07-22,3.52,0.13900000000000023,0.11968379391678591,-0.07399999999999984,0.45100000000000007,94.45,0.01142924599171502,18.39,13.347231909042543,-0.0015819940315680014,7.24,-3.2975,35.601,13.855198949603361,-0.013885041669514764
2024-07-23,3.52,0.14000000000000012,0.11968379391678591,-0.08499999999999996,0.43299999999999983,95.04,-0.0039008362553418774,17.47,13.563288977978292,-0.0016925348410098406,7.105,-3.3025,35.226,13.799714985058914,0.003176553614692601
2024-07-24,3.51,0.13199999999999967,0.12051206534922868,-0.08700000000000019,0.46499999999999986,94.81,0.005615851262845584,17.42,13.566855864617688,-0.004436909313902171,7.0025,-3.281,35.233,14.445569116751415,0.0044741928012709264
2024-07-25,3.51,0.13199999999999967,0.12051206534922868,-0.10199999999999987,0.48999999999999977,99.08,0.017421185989103583,18.77,15.184844526622783,0.002318924598717409,7.2275,-3.26,36.636,15.36735404207293,-0.0033790811786612585
2024-07-26,3.5,0.12199999999999989,0.12078689367729603,-0.08700000000000019,0.4830000000000001,97.76,-0.007839448102853641,17.98,15.539040987185112,0.0005783899070961329,7.085,-3.2575,36.189,18.229519846693048,-0.023872656586350294
2024-07-29,3.5,0.125,0.12078689367729603,-0.06999999999999984,0.528,98.65,-0.012310113840184433,17.51,16.634741836266592,-0.0007948264026880203,7.175,-3.225,35.849,18.643800602114275,-0.005701048006593767
2024-07-30,3.5,0.12400000000000011,0.12078689367729603,-0.06099999999999994,0.5059999999999998,100.42,0.009885989304039389,17.78,17.116988797054496,0.0011570307697872373,7.095,-3.2375,35.744,19.15424537845622,0.0006630596202898964
2024-07-31,3.5,0.12199999999999989,0.10803508202138926,-0.05699999999999994,0.5,99.41,-0.011869154441437546,17.51,17.487556167326904,-0.009570587597963143,7.405,-3.2575,34.869,19.34112623923853,-0.001436755565278336
2024-08-01,3.49,0.121,0.10895194498396678,-0.03699999999999992,0.5150000000000001,101.82,-0.002522837271582201,17.12,16.344128285926672,-0.0011303967327888076,7.305,-3.2475,35.129,18.417218959232628,0.0016115245670547118
2024-08-02,3.48,0.11499999999999977,0.10895194498396678,-0.03400000000000025,0.544,112.26,0.036537686126551616,21.77,18.034175020000262,-0.006205965027561766,7.305,-3.22,36.511,23.0644282882183,0.0028407023185916813
2024-08-05,3.48,0.14900000000000002,0.10895194498396678,-0.07699999999999996,0.665,121.22,0.08767688392827111,45.86,23.590151314670745,0.005693714873452604,8.32,-3.09,39.769,36.23052363439235,-0.007285698524484241
